NOMBRE;IPTR (VUT por 1.000 hogares);vut_insideAirbnb;hogares_totales;vut_licencia
Centro;133,88;10017;74.818;168
Arganzuela;18,14;1250;68.911;84
Retiro;16,85;858;50.925;33
Salamanca;22,90;1547;67.550;48
Chamartín;12,54;772;61.573;38
Tetuán;20,39;1462;71.701;116
Chamberí;24,84;1636;65.866;45
Fuencarral - El Pardo;3,88;372;95.952;38
Moncloa - Aravaca;13,46;662;49.201;23
Latina;6,93;697;100.595;45
Carabanchel;8,91;914;102.547;53
Usera;10,56;559;52.911;38
Puente de Vallecas;7,95;752;94.569;48
Moratalaz;4,57;176;38.535;12
Ciudad Lineal;9,08;850;93.616;97
Hortaleza;6,06;472;77.873;21
Villaverde;4,19;247;58.902;14
Villa de Vallecas;2,54;120;47.178;5
Vicálvaro;2,18;73;33.437;6
San Blas - Canillejas;8,20;521;63.510;9
Barajas;8,83;169;19.141;10
TOTALES;17,37; 24.126 ; 1.389.311 ;951
